nombre,marca,cantidades_disponibles,precio,precio_original,descripcion,referencia,url_producto,url_imagen
BENETTON COLORS WOMAN ROSE EAU DE TOILETTE,,80ml,$39.620,,"Colors Rose presenta una nueva manera de mirar al mundo a través de una paleta de colores plural y positiva. Un universo nuevo de fragancias con el que celebrar que lo que nos hace diferentes es también lo que nos une. Colors Rose se abre con una explosión antural de cítricos, haciendo un ramo florar ultra femenino en el corazón. La base deliciosamente gourmand agrega personalidad con fusión sensual de maderas y almizcle dulce.",11291,https://www.rp-luxury.com/es/fragancias-femeninas/11291-6986-benetton-colors-woman-rose-eau-de-toilette.html#/29-talla-80ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11291.jpg
LANCOME LA VIE EST BELLE L´ELIXIR VERY CHERRY EDP,,100ml,$349.000,,"Ser tú misma nunca se sintió tan irresistible. La vie est belle Very Cherry celebra cada faceta de tu esencia: plena, audaz y libre. Vive sin pedir disculpas, con autenticidad y una confianza irresistible. Atrevida pero refinada, Very Cherry está diseñada para expresar, no para impresionar. Una reinterpretación de la cereza con un exquisito toque de profundidad amaderada. Una estela de larga duración para quienes abrazan la intensidad con elegancia. Ideal para el día a día, ya sea para una ocasión especial o para añadir un toque de distinción a tu rutina. Tu esencia más pura, pero más dulce e inesperada.",11290,https://www.rp-luxury.com/es/fragancias-femeninas/11290-6985-lancome-la-vie-est-belle-lelixir-very-cherry-edp.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11290.jpg
CAROLINA HERRERA CH SWING LIMITED EDITION EDP,,100ml,$252.400,,"CH Swing de Carolina Herrera es una fragancia floral verde ambarina tan luminosa como irresistible. Se abre con una jugosa explosión de pera y limón verde, para un arranque fresco y vibrante. En su corazón, la cremosidad del coco se mezcla con el resplandor floral del ylang-ylang, en una oda a la feminidad refinada. Su estela es adictiva: un fondo cálido de vainilla aterciopelada, sándalo suave, avellana tostada y madera de cedro limpia, una firma CH moderna y de elegancia sin esfuerzo.",11288,https://www.rp-luxury.com/es/fragancias-femeninas/11288-6983-carolina-herrera-ch-swing-limited-edition-edp.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11288.jpg
ARMANI MY WAY SUNNY VANILLA EAU DE PARFUM,,50ml | 90ml,$285.000,,"Déjate envolver por la calidez de un nuevo horizonte con My Way Sunny Vanilla, una deliciosa interpretación, bañada por el sol, de la icónica fragancia My Way. Este estimulante perfume floral-frutal es una invitación a disfrutar del resplandor de nuevos descubrimientos, capturando la sensación de una tarde dorada donde cada nota cuenta una historia de conexión y belleza consciente. Inspirado en la mujer curiosa, auténtica y dispuesta a ampliar sus horizontes, Sunny Vanilla es un testimonio del compromiso de Armani con el planeta. Elaborado con ingredientes de origen responsable de todo el mundo —desde los campos de la India hasta las costas de Madagascar— es un perfume femenino que honra el mundo que exploramos y a las personas que encontramos en el camino.",11279,https://www.rp-luxury.com/es/fragancias-femeninas/11279-6972-armani-my-way-sunny-vanilla-eau-de-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11279.jpg
HERMES UN JARDIN SOUS LA MER EAU DE TOILETTE RECARGABLE,,100ml,$339.000,,"LA CREACIÓN Con el eau de toilette Un Jardin sous la Mer, Christine Nagel, perfumista de Hermès, responde a la llamada del mar e invita a descubrir un jardín inesperado. Nos transporta a una escala lejana en la Polinesia, en la isla de Tahaa. Un lugar protegido, en el que montes y arrecifes, plantas y corales dialogan en perfecta armonía.",11240,https://www.rp-luxury.com/es/fragancias-masculinas/11240-6940-hermes-un-jardin-sous-la-mer-eau-de-toilette-recargable.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11240.jpg
RABANNE OLYMPEA ELIXIR EAU DE PARFUM INTENSE,,80ml,$261.500,,"Dejá que tu aura de verano brille con OLYMPÉA Elixir de Rabanne: una firma femenina intensa y solar de piña jugosa, jazmín precioso y monoi tropical que captura la calidez de los rayos dorados del atardecer, envolviendo la piel en luz.",11239,https://www.rp-luxury.com/es/fragancias-femeninas/11239-6939-rabanne-olympea-elixir-eau-de-parfum-intense.html#/29-talla-80ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11239.jpg
GUCCI GUILTY ABSOLU DE PARFUM POUR FEMME,,60ml,$362.250,,"Las nuevas fragancias Gucci Guilty reflejan el arte de la elegancia, transportando a quien las disfruta a un lugar íntimo de sofisticación. Gucci Guilty Absolu de Parfum Pour Femme es una fragancia intensa, con toques de ámbar floral. En las notas de corazón, un oscuro acorde de amaretto de café ofrece un aroma exquisito y aterciopelado, que se profundiza con la calidez cremosa del absoluto de haba tonka. Un delicado acorde de glicina añade contraste con un matiz dulce y texturizado.",11230,https://www.rp-luxury.com/es/fragancias-femeninas/11230-6929-gucci-guilty-absolu-de-parfum-pour-femme.html#/28-talla-60ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11230.jpg
LACOSTE ROSE EAU DE TOILETTE INTENSE,,100ml,$209.000,,"L.12.12 Rose Eau Intense, inspirada en el icónico polo Lacoste, revela una feminidad atrevida a través de una fragancia floral amaderada.",11216,https://www.rp-luxury.com/es/fragancias-femeninas/11216-6918-lacoste-rose-eau-de-toilette-intense.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11216.jpg
LATTAFA BADEE AL OUD NOBLE 100 Ml,,100ml,$109.990,,"Descubre el encanto cautivador de Badee Al Oud Noble Blush, una fragancia que captura la esencia de una dulce y onírica fantasía. Con una nota de salida de delicada leche de rosas, este aroma se abre con un toque suave y romántico. Las notas de corazón de almendra y merengue aportan una riqueza deliciosamente suave y cremosa, mientras que las notas de fondo de sándalo, vainilla y almizcle añaden calidez y profundidad, creando un acabado aterciopelado irresistible. Perfectamente elaborada para evocar una sensación de asombro, Noble Blush es una verdadera delicia de la colección Badee Al Oud, que convierte cada momento en un soplo de puro encanto.",11207,https://www.rp-luxury.com/es/fragancias-femeninas/11207-6909-lattafa-badee-al-oud-noble-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11207.jpg
MUGLER ALIEN PULP EAU DE PARFUM FRUITÉE RECARGABLE,,30ml | 60ml | 90ml,$208.000,,"Adéntrate en una dimensión de sensualidad con Alien Pulp Eau de Parfum, una fragancia floral frutal rebosante de feminidad vibrante. Diseñada por Dominique Ropion, maestro perfumista y creador del clásico Alien Eau de Parfum, esta EDP fue creada para brindar una experiencia olfativa casi palpable. Perfil de la fragancia Alien Pulp Alien Pulp EDP reinventa la icónica esencia de Alien con un toque frutal moderno: radiante, audaz e inolvidable. Esta fragancia frutal y floral es ideal para la primavera y el verano. La jugosa frambuesa rosa irradia dulzura pulposa, envuelta en el brillo cremoso del jazmín para una esencia supra sensual que perdura maravillosamente en la piel. Un toque cítrico de esencias de naranja dulce y mandarina verde realza aún más esta fragancia. Las maderas aterciopeladas aportan equilibrio y profundidad, creando un contraste irresistible de luminosidad y calidez.",11201,https://www.rp-luxury.com/es/fragancias-femeninas/11201-6905-mugler-alien-pulp-eau-de-parfum-fruitee-recargable.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11201.jpg
LANCOME LA NUIT TRÉSOR ROUGE DRAMA EDP INTENSE,,100ml,$399.000,,"Dale a tu amor un toque dramático. Atrévete a explorar las profundidades más intensas del amor con La Nuit Trésor Rouge Drama, inspirada en los tonos de las Salas Rojas del Louvre. Una interpretación audaz del color más atrevido: el rojo. Sus nuevos tonos intensamente emocionantes amplificarán tus emociones, transformando momentos fugaces en recuerdos imborrables. AMPLIFICA TUS EMOCIONES, DRAMATIZA EL MOMENTO.",11192,https://www.rp-luxury.com/es/fragancias-femeninas/11192-6904-lancome-la-nuit-tresor-rouge-drama-edp-intense.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11192.jpg
TOUS LOVE ME THE AMETHYST ELIXIR PARFUM,,30ml | 90ml,$236.500,,"Comprando la fragancia Tous Love Me The Amethyst Elixir Parfum 90 Ml, te llevas de regalo un Pouch Exclusivo Eau de parfum LoveMe The Amethyst Elixir LoveMe The Amethyst Elixir Extrait de Parfum de TOUS es una fragancia para uso femenino.",11189,https://www.rp-luxury.com/es/fragancias-femeninas/11189-6901-tous-love-me-the-amethyst-elixir-parfum.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11189.jpg
HALLOWEEN MY WISH ADDICTION EAU DE PARFUM,,30ml | 100ml,$170.500,,"Comprando la fragancia Halloween My Wish Addiction Eau de Parfum 100 Ml, te llevas de regalo una cartera exclusiva HALLOWEEN Perfumes desvela un nuevo camino hacia los deseos más intensos. Una adicción irresistible, sensorial, atrevida y sensual, atraviesa la piel y los sentidos. Gourmand-floral",11188,https://www.rp-luxury.com/es/fragancias-femeninas/11188-6899-halloween-my-wish-addiction-eau-de-parfum.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11188.jpg
DIOR J' ADORE INTENSE PARFUM,,50ml | 100ml,$276.900,,"J’adore Intense deja sobre la piel una estela golosa de flores sensuales y exuberantes en el punto máximo de su expresión olfativa. Concentradas en este néctar floral, todas las flores ganan intensidad y volumen. El jazmín, la flor por excelencia de la sensualidad, se matiza con acentos de albaricoque, mientras que la rosa se vuelve más intensa y adictiva. El ylang-ylang, la flor del sol envuelve la composición con un calor luminoso. En el fondo, las notas de sándalo suave y vainilla generosa completan esta creación olfativa floral y golosa de carácter audaz. J’adore Intense encarna, en esta estela, una feminidad soberana, sensual y afirmada. A la vez preciosa y minimalista, el ánfora de J’adore Intense se aligera para proyectar un futuro más responsable: el peso del vidrio del frasco es un 53 % más liviano, conservando solo lo esencial: la fragancia misma.",11182,https://www.rp-luxury.com/es/fragancias-femeninas/11182-6886-dior-j-adore-intense-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11182.jpg
CAROLINA HERRERA 212 VIP ROSÉ CAB EAU DE PARFUM LIMITED EDITION,,80ml,$251.500,,"212 VIP Rosé Cab Eau de Parfum es una edición limitada del icónico 212 VIP Rosé, inspirada en el legendario taxi amarillo de Nueva York. La jugosa piña aporta un toque radiante al acorde espumoso de champán rosado, mientras que el jazmín añade calidez floral y el sensual pachulí deja un rastro duradero. El resultado es una fragancia luminosa y efervescente que captura la energía vibrante de Nueva York al anochecer.",11178,https://www.rp-luxury.com/es/fragancias-femeninas/11178-6877-carolina-herrera-212-vip-rose-cab-eau-de-parfum-limited-edition.html#/29-talla-80ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11178.jpg
NINA RICCI VENUS EAU DE PARFUM INTENSE,,30ml | 50ml | 80ml,$159.000,,"Ámate a ti misma y ama tu intensidad con Vénus de Nina Ricci Eau de Parfum Intense. La fragancia solar, sensual e hipnótica revela una faceta más rica y magnética, donde la flor de tiaré solar se encuentra con el pachulí ambarado y sensual. El Nina Ricci Venus Eau de Parfum Intense de 50 Ml y 80 Ml son recargables El frasco del de 30ml es todo negro y el de 50 y 80ml son de un lado dorado y del otro negro",11175,https://www.rp-luxury.com/es/fragancias-femeninas/11175-6872-nina-ricci-venus-eau-de-parfum-intense.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11175.jpg
CACHAREL ELLA ELLA FLORA AZURA EAU DE PARFUM,,30ml | 50ml | 100ml,$149.000,,"ELLA ELLA FLORA AZURA – el nuevo eau de parfum de Cacharel. Presentamos el nuevo eau de parfum de ELLA ELLA, ELLA ELLA FLORA AZURA. Una colección de fragancias transformadoras para quienes se atreven a abrazar su esencia más radiante.",11174,https://www.rp-luxury.com/es/fragancias-femeninas/11174-6870-cacharel-ella-ella-flora-azura-eau-de-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11174.jpg
VERSACE CRYSTAL EMERALD POUR FEMME EAU DE PARFUM,,30ml | 50ml | 90ml,$195.000,,Esta creación olfativa expresa una feminidad seductora que captura la actitud sin complejos que define a la casa.,11173,https://www.rp-luxury.com/es/fragancias-femeninas/11173-6866-versace-crystal-emerald-pour-femme-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11173.jpg
MONTBLANC SIGNATURE ELIXIR EAU DE PARFUM,,90ml,$264.000,,"Una fragancia lujosa y concentrada, basada en una vainilla sensual. Es cálida y profunda, enriquecida con resinas aromáticas y maderas nobles, aportando una gran profundidad. Es una versión más intensa y con un toque elegante del clásico Signature.",11169,https://www.rp-luxury.com/es/fragancias-femeninas/11169-6864-montblanc-signature-elixir-eau-de-parfum.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11169.jpg
ROCHAS MADEMOISELLE IN LOVE EAU DE PARFUM,,30ml | 90ml,$239.500,,Mademoiselle Rochas in Love: un eau de parfum floral ambarado y adictivo. ¡Un flechazo garantizado! Mademoiselle Rochas está más enamorada que nunca y no pasa desapercibida con esta nueva eau de parfum para mujer.,11168,https://www.rp-luxury.com/es/fragancias-femeninas/11168-6863-rochas-mademoiselle-in-love-eau-de-parfum.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11168.jpg
DIOR ADDICT ROSY GLOW EAU DE PARFUM,,30ml | 50ml | 100ml,$166.500,,"Resplandeciente y tentadora, la estela del perfume Rosy Glow es una auténtica delicia olfativa que proporciona una sensación de asombro inmediato. Dior Addict sublima la faceta afrutada de las flores Dior en una colección de perfumes gourmand y coloridos. Tres estelas, tres formas de brillar con deleite. Déjese cautivar por Purple Glow, deslumbrar por Rosy Glow y envolver por Peachy Glow.",,https://www.rp-luxury.com/es/fragancias-femeninas/11167-6859-dior-addict-rosy-glow-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\sin_ref_-3389067805351362063.jpg
DIOR ADDICT PURPLE GLOW EAU DE PARFUM,,30ml | 50ml | 100ml,$166.500,,"Magnético e intenso, el perfume Purple Glow despliega una estela con un encanto cautivador. Dior Addict sublima la faceta afrutada de las flores Dior en una colección de perfumes gourmand y coloridos. Tres estelas, tres formas de brillar con deleite. Déjese cautivar por Purple Glow, deslumbrar por Rosy Glow y envolver por Peachy Glow.",,https://www.rp-luxury.com/es/fragancias-femeninas/11166-6856-dior-addict-purple-glow-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\sin_ref_3915970328371431286.jpg
DIOR ADDICT PEACHY GLOW EAU DE PARFUM,,30ml | 50ml | 100ml,$166.500,,"Alegre y aterciopelada, la estela del perfume Peachy Glow ofrece una armonía olfativa envolvente, un placer reconfortante de colores vivos. Dior Addict sublima la faceta afrutada de las flores Dior en una colección de perfumes gourmand y coloridos. Tres estelas, tres formas de brillar con deleite. Déjese cautivar por Purple Glow, deslumbrar por Rosy Glow y envolver por Peachy Glow.",,https://www.rp-luxury.com/es/fragancias-femeninas/11165-6853-dior-addict-peachy-glow-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\sin_ref_6596207130594392099.jpg
GISADA AMBASSADORA FOR WOMEN EAU DE PARFUM,,100ml,$259.500,,"Ambassadora de Gisada es la libertad en su máxima expresión: audaz, luminosa e inquebrantable. Un contraste entre delicados pétalos e intensa fragancia, este Eau de Parfum está creado para la mujer que marca su propio ritmo y escribe sus propias reglas. Diseñado para acompañarte todo el día y toda la noche, siempre a tu manera.",11157,https://www.rp-luxury.com/es/fragancias-femeninas/11157-6848-gisada-ambassadora-for-women-eau-de-parfum.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11157.jpg
GIVENCHY L´INTERDIT NARCISSE BLANC EAU DE PARFUM,,50ml,$244.500,,"En esta edición limitada, la fragancia emblemática de L'Interdit revela un brillo helado único. El narciso, salvaje y esquivo, se une al icónico buqué blanco de L'Interdit, compuesto por azahar, nardo y jazmín, e infunde al aroma una explosión de frescura. El aroma vibrante perdura: la esencia de almendra amarga lo adorna con dulzura, mientras que los almizcles blancos, aterciopelados y cálidos, lo envuelven en su delicado abrazo. Una fragancia potente que equilibra frescura y sensualidad.",11143,https://www.rp-luxury.com/es/fragancias-femeninas/11143-6845-givenchy-linterdit-narcisse-blanc-eau-de-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11143.jpg
ARMANI POWER OF YOU POUR FEMME EAU DE PARFUM,,50ml | 90ml,$349.000,,"Capturado en un frasco de tono rubí, parecido a una joya, POWER OF YOU es una fragancia que te inspira instantáneamente a abrazar tu poder. La nueva adicción exótica que te encantará usar.",11140,https://www.rp-luxury.com/es/fragancias-femeninas/11140-6842-armani-power-of-you-pour-femme-eau-de-parfum.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11140.jpg
MARC JACOBS PERFECT ABSOLUTE EAU DE PARFUM 100 Ml,,100ml,$331.949,,"Precioso. Audaz. Extraordinario. Descubre el nuevo Perfect Absolute, una celebración del empoderamiento, la afirmación positiva y la confianza en ti misma.",11138,https://www.rp-luxury.com/es/fragancias-femeninas/11138-6840-marc-jacobs-perfect-absolute-eau-de-parfum-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11138.jpg
CALVIN KLEIN EUPHORIA SOLAR ELIXIR PARFUM INTENSE 100 Ml,,100ml,$278.811,,"Radiante y solar. Calvin Klein euphoria solar elixir es una expresión radiante de alegría. Pura, brillante y llena de vida.",11137,https://www.rp-luxury.com/es/fragancias-femeninas/11137-6839-calvin-klein-euphoria-solar-elixir-parfum-intense-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11137.jpg
CALVIN KLEIN EUPHORIA MAGNETIC ELIXIR PARFUM INTENSE 100 Ml,,100ml,$278.811,,Expresivo y magnético. Calvin Klein euphoria magnetic elixir captura el magnetismo irresistible de quien conquista sin esfuerzo.,11136,https://www.rp-luxury.com/es/fragancias-femeninas/11136-6838-calvin-klein-euphoria-magnetic-elixir-parfum-intense-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11136.jpg
CALVIN KLEIN EUPHORIA BOLD ELIXIR PARFUM INTENSE 100 Ml,,100ml,$278.811,,"Atrevido y seguro. El audaz elixir canaliza la intensidad y la fuerza pura de la vainilla tostada, lo que revela una sensualidad profunda y ahumada que deja huella.",11135,https://www.rp-luxury.com/es/fragancias-femeninas/11135-6837-calvin-klein-euphoria-bold-elixir-parfum-intense-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11135.jpg
JEAN PAUL GAULTIER LA BELLE ROSEA EDP,,100ml,$302.500,,"En un Edén de oro y piedras preciosas, Jean Paul Gaultier presenta La Belle Rosea, un eau de parfum floral acuático ambarino, cincelado como una joya. Con el pecho desnudo, adornada con una rosa de oro y una piedra granate, ella irradia un brillo incandescente, esquivo y cautivador. Pero es su estela lo que más cautiva. Irresistible tentación del Paraíso de Gaultier, este perfume sublima la piel y atrae todas las miradas como una joya.",11118,https://www.rp-luxury.com/es/fragancias-femeninas/11118-6812-jean-paul-gaultier-la-belle-rosea-edp.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11118.jpg
CAROLINA HERRERA LA BOMBA EAU DE PARFUM,,30ml | 50ml | 80ml,$180.000,,"El Carolina Herrera La Bomba Eau de Parfum 50 Ml es recargable La Bomba de Carolina Herrera es una nueva y explosiva fragancia femenina que te invita a desplegar tus alas y vivir con fuerza y libertad. En su frasco tipo joya con forma de mariposa, esta fragancia floral y afrutada capta la esencia de la celebración de una misma y la liberación con una alegre mezcla de exótica pitaya, peonía cereza y vainilla solar.",11116,https://www.rp-luxury.com/es/fragancias-femeninas/11116-6808-carolina-herrera-la-bomba-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11116.jpg
ISSEY MIYAKE LUMIERE D'ISSEY EAU DE PARFUM,,50ml | 100ml,$279.000,,"Aquí tienes la traducción al español, manteniendo el tono elegante y luminoso del original: Lumière d’Issey Eau de Parfum — la nueva y luminosa fragancia recargable para mujer Lumière d’Issey es el nuevo eau de parfum para mujer de Issey Miyake, una fragancia impregnada de luz. Como la promesa de un nuevo amanecer, la luz da origen a la vida. Al ahuyentar las sombras, el resplandor del optimismo brilla con fuerza. Siéntete viva, vibrante, llena de esperanza. Viste la luz, difunde la luz.",,https://www.rp-luxury.com/es/fragancias-femeninas/11113-6806-issey-miyake-lumiere-d-issey-eau-de-parfum-.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\sin_ref_2017554675436547207.jpg
KARL LAGERFELD MATIERES FLEUR D'IRIS EDP 100 Ml,,100ml,$120.000,,"Una de las flores más preciadas de la perfumería, el iris, cobra protagonismo en esta composición, revelando una irresistible seducción cremosa.",11111,https://www.rp-luxury.com/es/fragancias-femeninas/11111-6804-karl-lagerfeld-matieres-fleur-d-iris-edp-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11111.jpg
LACOSTE ORIGINAL EAU DE PARFUM 100 Ml,,100ml,$210.000,,"Lacoste Original saca a la luz una nueva feminidad espontánea. Un Eau de Parfum ambarino y afrutado que se abre con una brisa de pera jugosa y jengibre vibrante. En su corazón, un luminoso jazmín se realza con un acorde solar que evolucionar antes de culminar en una sensual estela donde se fusionan la vainilla y el ámbar. El frasco hace gala de una alargada silueta femenina vestida de rosa. Los toques dorados en la etiqueta y el tapón ponen un toque de luz y elegancia.",11100,https://www.rp-luxury.com/es/fragancias-femeninas/11100-6798-lacoste-original-eau-de-parfum-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11100.jpg
KATE SPADE POP EAU DE PARFUM,,40ml | 60ml | 100ml,$160.000,,"Kate Spade Pop Eau de Parfum una mezcla luminosa y alegre, entre el colorido de las frutas exóticas y las maderas cremosas.",11098,https://www.rp-luxury.com/es/fragancias-femeninas/11098-6795-kate-spade-pop-eau-de-parfum.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11098.jpg
JIMMY CHOO I WANT CHOO WITH LOVE EDP,,40ml | 60ml | 100ml,$290.000,,"I Want Choo With Love es una fragancia vibrante y alentadora, que celebra el amor en todas sus formas: desde amistades profundas y familia elegida hasta el amor propio. Capturando el espíritu alegre en el corazón de Jimmy Choo, inspira confianza y deja una impresión duradera. El aroma comienza con jugosa esencia de frambuesa, mandarina y pétalos luminosos de flores de naranja, evocando el resplandor dorado de una tarde veraniega. En su esencia, un ramo de infusión de rosas, hibisco y fresia aporta intensidad floral, mientras que suaves notas de base de vainilla, sándalo y almizcle aportan calidez y sensualidad, combinándose para crear una estela irresistible y magnética.",11097,https://www.rp-luxury.com/es/fragancias-femeninas/11097-6792-jimmy-choo-i-want-choo-with-love-edp.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11097.jpg
GISADA AMBASSADOR WOMEN EDP 100 Ml,,100ml,$259.500,,"Es un aroma con propósito: un reflejo audaz y sin disculpas de la mujer moderna que abraza cada faceta de su complejidad, vive la vida a su manera y deja huella allá donde va. Algunas fragancias se conforman con quedarse en el fondo, agradables y discretas. Ambassador Women de Gisada rechaza tal mediocridad. Es un aroma con propósito: un reflejo audaz y sin disculpas de la mujer moderna que abraza cada faceta de su complejidad, vive la vida a su manera y deja huella allá donde va.",11095,https://www.rp-luxury.com/es/fragancias-femeninas/11095-6788-gisada-ambassador-women-edp-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11095.jpg
KENZO FLOWER LE ROUGE EAU DE PARFUM,,30ml | 50ml | 100ml,$149.800,,"Descubrí LE ROUGE FLOWER Eau de Parfum de KENZO, una fragancia floral gourmand intensa y sensual que reinventa la icónica firma FLOWER BY KENZO. Notas de rosa damascena, almizcles, vainilla y sándalo se combinan para crear una estela cálida, envolvente y vibrante, inspirada en la fuerza del color rojo.",11090,https://www.rp-luxury.com/es/fragancias-femeninas/11090-6785-kenzo-flower-le-rouge-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11090.jpg
LANCOME IDOLE PEACH ´N ROSES EDP FRUITEÉ 100 Ml,,100ml,$349.000,,"Dale play a esta sinfonía sensorial: el ritmo comienza con una explosión de notas chispeantes de frutos rojos, luego se intensifica con el irresistible toque ácido del extracto natural de durazno – Peach Orpur™, una innovación de Givaudan. La melodía crece con la caricia aterciopelada del Absoluto de Rosa Damascena, rica, sensual y totalmente adictiva. Como esa canción que no podés dejar de escuchar, esta fragancia se siente diferente. Permanece en la piel como un pulso constante, una vibra vibrante. Idôle Peach’N Roses descansa sobre tu tocador, encarnando una confianza radiante. Su lacado suave en tono durazno-naranja brilla como un atardecer capturado, irradiando una cálida luz interior. Más que una fragancia, Idôle Peach’N Roses es una experiencia. Un recordatorio constante de presionar repeat en esos momentos simplemente “peachy”.",11078,https://www.rp-luxury.com/es/fragancias-femeninas/11078-6773-lancome-idole-peach-n-roses-edp-fruitee-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11078.jpg
RABANNE FAME IN LOVE PARFUM ELIXIR,,30ml | 50ml | 80ml,$170.000,,"El tamaño 80 Ml de la fragancia Rabanne Fame In Love Parfum Elixir es Recargable Descubrí la firma femenina más deliciosa de FAME con un inconfundible giro Rabanne: FAME IN LOVE Parfum Elixir. Un nuevo lenguaje del amor para la chica Rabanne, divertida y juguetona, potenciado por una nota de frutilla súper jugosa. Porque el amor es rojo.",8124,https://www.rp-luxury.com/es/fragancias-femeninas/8124-6764-rabanne-fame-in-love-parfum-elixir.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\8124.jpg
DAVIDOFF COOL ELIXIR PARFUM INTENSE,,50ml | 100ml,$130.680,,"Descubre para ella el Davidoff Cool Elixir, el irresistible tesoro de vainilla ámbar. Este perfume Davidoff para ella introduce una noble y fascinante firma olfactiva que expresa sensualidad y preciosidad.",8121,https://www.rp-luxury.com/es/fragancias-femeninas/8121-6761-davidoff-cool-elixir-parfum-intense.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\8121.jpg
BURBERRY HER PARFUM,,50ml | 100ml,$241.560,,"Burberry Her Parfum es la fragancia más intensa de la familia Her: atrevida y sofisticada. Inspirado en la riqueza de la fragancia, el icónico frasco Burberry Her ahora viene en un color opaco y rosa intenso con un acabado mate. El embalaje está adornado con cintas rosas.",8118,https://www.rp-luxury.com/es/fragancias-femeninas/8118-6756-burberry-her-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\8118.jpg
GIVENCHY IRRESISTIBLE NECTAR EAU DE PARFUM,,35ml | 50ml | 80ml,$180.000,,"SOY IRRESISTIBLE Irresistible es la oda optimista de la Maison Givenchy a la libertad y la espontaneidad, que alienta a las mujeres a dejarse llevar. Más gourmand que nunca, Irresistible Nectar es una invitación a saborear cada momento y disfrutar de la alegría de ser una misma.",8100,https://www.rp-luxury.com/es/fragancias-femeninas/8100-6681-givenchy-irresistible-nectar-eau-de-parfum.html#/42-talla-35ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\8100.jpg
