nombre,marca,cantidades_disponibles,precio,precio_original,descripcion,referencia,url_producto,url_imagen
COACH DREAMS SUNSET EAU DE PARFUM,,60ml | 90ml,$177.500,,"Coach Dreams Sunset es una fragancia fresca de espíritu libre inspirada en las horas doradas del atardecer, cuando las posibilidades siempre están en el horizonte.",4928,https://www.rp-luxury.com/es/fragancias-femeninas/4928-3025-coach-dreams-sunset-eau-de-parfum.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4928.jpg
SISLEY IZIA LA NUIT EAU DE PARFUM,,30ml | 50ml | 100ml,$228.900,,"En el corazón de Izia, vive una rosa. Una rosa distintiva que florece raramente y cuyo nombre se pierde en las brumas del tiempo. Crece en el jardín de Isabelle d'Ornano, fundadora de Sisley, y su perfume único la inspiró para crear esta fragancia tan soleada como femenina. En Izia la Nuit, esta rosa revela ahora una nueva faceta: más sofisticada, más opulenta y amaderada.",4911,https://www.rp-luxury.com/es/fragancias-femeninas/4911-2996-sisley-izia-la-nuit-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4911.jpg
HERMES TWILLY GINGER EAU DE PARFUM,,50ml | 85ml,$287.000,,"Ayer eran traviesos, luego picantes, y hoy son alegres, brillantes y chispeantes. Sus rostros se iluminan, sonrientes y libres, para expresar la impertinencia y frescura de esta nueva Twilly d'Hermes, que lo pone todo patas arriba ...",4909,https://www.rp-luxury.com/es/fragancias-femeninas/4909-2994-hermes-twilly-ginger-eau-de-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4909.jpg
DIOR MISS DIOR NEW EAU DE PARFUM,,30ml | 50ml | 100ml | 150ml,$194.000,,"Miss Dior Eau de Parfum se reinventa con una nueva estela. En 1947, Miss Dior nació de ese impulso irracional, de ese deseo imperioso de reencantar la vida de las mujeres, de hacerles redescubrir los resplandecientes colores del amor. En esta época, después de los tiempos sombríos, esta estela era para Christian Dior un sinónimo de felicidad, de poesía y de armonía reencontrada. Miss Dior llama la atención, hace vibrar e invita a descubrir todas las bellezas del mundo y el amor.",4907,https://www.rp-luxury.com/es/fragancias-femeninas/4907-2988-dior-miss-dior-new-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4907.jpg
GIORGIO ARMANI SI INTENSE EAU DE PARFUM,,30ml | 50ml | 100ml,$132.300,$189.000,"Descubre Sì Eau de Parfum Intense de Giorgio Armani. Sì Eau de Parfum Intense encapsula la energía segura que caracteriza a la mujer Sì. Empoderada, femenina y libre, encarna una feminidad irresistiblemente moderna, que a través del prisma de esta nueva fragancia intensa adquiere un aire sofisticado y seductor. Sì es mi tributo a la feminidad moderna. Una combinación irresistible de gracia, fuerza y ​​espíritu independiente. - Giorgio Armani",,https://www.rp-luxury.com/es/oportuluxury/4905-2986-giorgio-armani-si-intense-eau-de-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\sin_ref_-1109837418466219305.jpg
RABANNE LADY MILLION FABULOUS EDP,,30ml | 50ml | 80ml,$174.300,$249.000,"La vida es maravillosa. ¡Es hora de brillar! Descubra la nueva fragancia femenina de Paco Rabanne, Lady Million Fabulous, la reina de la noche. Cuando empieza la fiesta, se convierte en la estrella: fabulosa, intensa y lista para impresionar.",4900,https://www.rp-luxury.com/es/oportuluxury/4900-2980-rabanne-lady-million-fabulous-edp.html#/29-talla-80ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4900.jpg
GIVENCHY L’INTERDIT EAU DE PARFUM ROUGE,,35ml | 50ml | 80ml | 125ml,$205.310,$293.300,"Las sensaciones adictivas se sumergen en la obsesión con la nueva L'Interdit Eau de Parfum Rouge de Givenchy. Este nuevo perfume para mujeres arde con pasión roja intensa. La fragancia sensual e incandescente revela un ramo floral blanco teñido de rojo profundo. El luminoso azahar y el opulento jazmín se encienden con un acorde rojo picante de naranja sanguínea, jengibre y hoja de pimienta. El suave sándalo deja una estela de las posibilidades más tentadoras. Fabricada en Francia en los históricos talleres de Givenchy, la nueva L'Interdit Eau de Parfum Rouge para mujeres abraza ingredientes naturales trazables elaborados con técnicas tradicionales para reinventar audazmente la icónica Flor Subterránea. Como homenaje al icónico rojo de Givenchy, la botella del perfume para mujeres está adornada con un barniz granate translúcido que enciende el interior. L'Interdit, un tributo a la feminidad audaz. Una invitación para desafiar tus límites y explorar la emoción de lo prohibido.",,https://www.rp-luxury.com/es/oportuluxury/4891-2970-givenchy-linterdit-eau-de-parfum-rouge.html#/29-talla-80ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\sin_ref_-8933647184714178765.jpg
TRUSSARDI FEMENINE EAU DE PARFUM,,30ml | 60ml | 90ml,$218.000,,"TRUSSARDI es la nueva fragancia femenina creada en exclusiva por Julie Massé y Violaine Collas, que a través de una serie de ingredientes típicos evocan una pirámide olfativa totalmente italiana.",4890,https://www.rp-luxury.com/es/fragancias-femeninas/4890-3561-trussardi-femenine-eau-de-parfum.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4890.jpg
MUGLER ANGEL EAU DE PARFUM 25 Ml RECARGABLE,,25ml,$182.000,$260.000,"La mujer Ángel se atreve a hacer realidad sus sueños con su estrella azul como guía. Confiada y seductora, fascina a quienes se cruzan en su camino. Entre el poder y el placer, utiliza su ultrafeminidad como firma. Entre el cielo y la tierra, hace realidad sus sueños. Angel Eau de Parfum es el primer perfume Gourmand en el mundo de las fragancias. Ángel, más salvaje que los sueños. Vuelva a llenar su botella en cualquier lugar: en las tiendas con la Fuente MUGLER o en casa con las exclusivas Botellas de Recarga.",4879,https://www.rp-luxury.com/es/oportuluxury/4879-3893-mugler-angel-eau-de-parfum-25-ml-recargable.html#/25-talla-25ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4879.jpg
DSQUARED2 WOOD RED EAU DE TOILETTE,,30ml | 50ml | 100ml,$89.530,$127.900,"Wood es un proyecto dual diseñado en torno a las características de la madera: fuerte y robusta, con una estructura completa que lo hace único. Creando nuevos aromas, madera verde y madera roja, que definen al hombre y la mujer Dsquared2 contemporáneos: sensual, seguro de sí mismos y sus personalidades. Los protagonistas de estas fragancias viven de las pasiones, las buenas vibras y el impulso hacia lo nuevo. Están buscando una esencia sofisticada que exprese su autenticidad, profundidad y pasión que los define.",4873,https://www.rp-luxury.com/es/oportuluxury/4873-2931-dsquared2-wood-red-eau-de-toilette.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4873.jpg
